priority,address,entity_type,confidence,borrowed_m,protocols,assets,governance,reasons
5,0x6ba9c7d86ebd6a20817d482c42c9de2806eefb7e,likely_yield_fund,50,53.6,aave|compound,USDC|USDS|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC, USDS, USDT"
5,0xffefa70b6deaab975ef15a6474ce9c4214d82b02,likely_yield_fund,50,50.0,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x42c8e43048f6ff3586945a1fd23e0bec540dcd07,likely_yield_fund,50,49.1,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x015cc48cc8bc37d80aaff4e43061dbaf94192308,likely_yield_fund,50,46.8,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x4093f559f38c4c87c280d64c85396f649c0d9987,likely_yield_fund,50,39.3,compound,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC | Contract address (Safe/multisig/bot)
5,0x685a76306aa3e81f3096c7db225cf19fa4794e96,likely_yield_fund,50,39.1,aave|aave_lido|spark,USDC|USDS|DAI,,"Uses 3 protocols: aave, aave_lido, spark | High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDS | Uses Spark (MakerDAO ecosystem)"
5,0xee6a16d8c3f33d920865a69508339174aba98f05,likely_yield_fund,50,38.6,aave|spark,USDC|DAI|USDT,,"Uses 2 protocols: aave, spark | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT | Uses Spark (MakerDAO ecosystem)"
5,0xfd595c310de371a66e7701fb4e7b250c924c7907,likely_yield_fund,50,38.2,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC
5,0xb0898b883de7f7f49ab8622f2185f5d0ca25b2ad,likely_yield_fund,50,37.8,aave,USDC|USDT|DAI|GHO,,"High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: DAI, GHO, USDC, USDT | Borrows GHO (Aave-native stablecoin)"
5,0xb801f83c0212a714660469e62903057aea18e386,likely_yield_fund,50,36.6,aave|spark,USDC|DAI|USDT,,"Uses 2 protocols: aave, spark | High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT | Uses Spark (MakerDAO ecosystem)"
5,0xe6d0ca9844f4c079e6e732f396ef3b9f98a2dac8,likely_yield_fund,50,34.8,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0xc9db4e8d3d940c16b800d433d168d2f651025642,likely_yield_fund,50,34.1,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC
5,0x51eb428f6ec3940cc12d81e5b51cf42ff8e18e49,likely_yield_fund,50,32.2,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x4d43aadee75419a4535400dee43690b5fe8c64e9,likely_yield_fund,50,31.9,aave,USDC|USDT,,"High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x3207363359ca0c11d11073ad48301e8c958b7910,likely_yield_fund,50,30.5,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x5cd7f9ee3be46c94ce51729e803a96566aa6668a,likely_yield_fund,50,29.4,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x77a56647fba0eb60abb7395574cded565f6f94f6,likely_yield_fund,50,29.3,aave,USDC,,High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC
5,0x9cc65c0560acdb03c4e7cef83e02fbe413920f98,likely_yield_fund,50,27.7,spark,USDS|USDT,,"High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDS, USDT | Uses Spark (MakerDAO ecosystem)"
5,0x26a58af72eff53ddaa064a9df86e8ec3184bee95,likely_yield_fund,50,26.9,aave,USDC|USDT,,"High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0xe6395145c839dac68d4f4c006101f88614d359f0,likely_yield_fund,50,25.7,aave|compound,USDC,,"Uses 2 protocols: aave, compound | High leverage: 1.3x (borrowed/net) | Borrows only stablecoins: USDC"
5,0x25d2477f89fb29f6956c45d4dfda9d29eb187f4e,likely_yield_fund,50,24.5,aave,USDC|USDT,,"High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0xc94a3ff0bac12eeb9ff0cc4e08511e1ffad6ba94,likely_yield_fund,50,23.8,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x85220e6aa75238ba9c80353c6330ebee5142230e,likely_yield_fund,50,23.5,aave,USDe,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDe
5,0x834bd54eae7edd442637375b9be9ba2a9ad28389,likely_yield_fund,50,22.2,aave,USDC,,High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC
5,0xf2427ea3afd9a64983c7077e9adf3e0cc0db29d1,likely_yield_fund,50,22.0,compound,USDC,,High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC
5,0x2f8d4e7b1d771932e1367ee46f4c7be11cd94ac3,likely_yield_fund,50,21.0,aave,USDC|DAI|USDT,,"High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT"
5,0x70bf67b9ed51d034c727a0b14460b39a3fc169a3,likely_yield_fund,50,20.0,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC
5,0x8429eaa03f90bd6dfccc64863d02a9c34ae81187,likely_yield_fund,50,19.9,aave|compound,USDC|DAI|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT"
5,0x0221b322ad36bbdf872a15c6010301b261ac097a,likely_yield_fund,50,19.5,aave,PYUSD,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: PYUSD
5,0xa3bcf996fd1cdd1f357b5a1eed0a39ceaaebd422,likely_yield_fund,50,19.4,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC | Contract address (Safe/multisig/bot)
5,0x5f8e50be79880b16bd75ebdab8638170511a0b5f,likely_yield_fund,50,19.4,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x6ac1108461189f1569e1d4dedc9940a0395d3423,likely_yield_fund,50,19.1,aave|spark,USDT,,"Uses 2 protocols: aave, spark | High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT | Uses Spark (MakerDAO ecosystem)"
5,0x282b49d33ef1962ebe758f5cd1d9c59d35919dbc,likely_yield_fund,50,18.0,aave|compound,USDC,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC"
5,0xb2c763b898a246d6562d7566fab4fd1dad586934,likely_yield_fund,50,17.9,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC
5,0xda1d41fbc625282eb09744efc8da1a66a494a298,likely_yield_fund,50,17.8,compound,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC
5,0xdaf585a5869ca7c1c0b1b9896ecdf314668d3f55,likely_yield_fund,50,17.6,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | High leverage: 1.5x (borrowed/net) | Borrows only stablecoins: USDC, USDT | Contract address (Safe/multisig/bot)"
5,0x855904de035c9d86a301af364159e7237b2536c0,likely_yield_fund,50,17.0,aave,USDC,,High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDC
5,0x6b2563826bc176fda2099c47567f447fc32cc5b7,likely_yield_fund,50,16.7,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x6bc241d88994c48f8af241b7f36d07dae902eafc,likely_yield_fund,50,16.3,compound,USDC,,High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC
5,0xe1f3f93a108c36368f6f2c7cda267d3a32bc5071,likely_yield_fund,50,16.2,aave,USDT,,High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDT
5,0x70e1b384fe335222529f5e685b371ff2e658cbd7,likely_yield_fund,50,15.1,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC
5,0xb213531aa8113f455c626a305feaef82da605e08,likely_yield_fund,50,15.0,spark,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT | Uses Spark (MakerDAO ecosystem)
5,0x219de81f5d9b30f4759459c81c3cf47abaa0ded1,likely_yield_fund,50,15.0,spark,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT | Uses Spark (MakerDAO ecosystem)
5,0xb20fb60e27a1be799b5e04159ec2024cc3734ed7,likely_yield_fund,50,14.9,aave,USDC,,High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: USDC
5,0x47cede04e99b1cc4d7cf1935c3eb7d2729e72969,likely_yield_fund,50,14.3,aave,USDC|USDe|USDT,,"High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC, USDT, USDe | Contract address (Safe/multisig/bot)"
5,0xcb4a7b790edb7fa3e2731efd7ed85275f92fc74a,likely_yield_fund,50,14.2,aave|compound,USDC|GHO|USDT,,"Uses 2 protocols: aave, compound | High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: GHO, USDC, USDT | Borrows GHO (Aave-native stablecoin)"
5,0x858b71e1d6e421fee400994bfd918da26dfd33af,likely_yield_fund,50,13.8,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0xfcd091e1207e467a5b23ac3bc0105e2742309d9f,likely_yield_fund,50,13.6,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x51ab7dfcd47283dfbcee6f0a15d25053825f4eaf,likely_yield_fund,50,13.5,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0xbf7ea95ab6f509b3b446c4d96a06d68a5c6e35ee,likely_yield_fund,50,13.4,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0xfcba81c19b20d2f2d7cea6e10647803ede7697c0,likely_yield_fund,50,13.2,aave,USDC|USDT,,"High leverage: 0.8x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x941ad3ebd8321797b9b53a87ade232e5d85973d1,likely_yield_fund,50,13.2,aave,DAI,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: DAI
5,0x457c3dc0323a7736b69a483dcadd4b44cdc1d380,likely_yield_fund,50,13.0,aave,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC | Contract address (Safe/multisig/bot)
5,0x678fc4dbd2ea3c76a808160259cf1acbeb4a4954,likely_yield_fund,50,12.8,aave,DAI,,High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: DAI
5,0x6b9ee75dbffd6b7d5706991ac7e7ae5363b484af,likely_yield_fund,50,12.7,aave,USDC|USDT,,"High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC, USDT"
5,0x554035a12da3f1f3621489018c9376f3a3df47ed,likely_yield_fund,50,12.3,compound,USDC,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDC | Contract address (Safe/multisig/bot)
5,0x399b610e64cfc26988b3a476b438a5f73976ca70,likely_yield_fund,50,11.6,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x5f23d9789dd2cd64512f8c40fd50be0c2a6927b4,likely_yield_fund,50,11.2,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT | Contract address (Safe/multisig/bot)
5,0x36aab712e7e6820608d5c974d6f9a615ecfd46db,likely_yield_fund,50,11.0,aave,USDT,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDT
5,0x7a79969a0b9d51d922c4810d2950560360f6f234,likely_yield_fund,50,10.8,aave,USDC|DAI|USDT,,"High leverage: 0.9x (borrowed/net) | Borrows only stablecoins: DAI, USDC, USDT"
5,0xf11f844bc13e7912b78f0ee8b8168f8ef32be22d,likely_yield_fund,50,10.5,aave,DAI,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: DAI
5,0x62b1bbda8a2c1a6b9cdf72d6ca22e6506d1f2746,likely_yield_fund,50,10.5,aave,USDe,,High leverage: 1.0x (borrowed/net) | Borrows only stablecoins: USDe
6,0xa9ed0db00e5c29e7e18a55db159ea33fb5fea60a,likely_sophisticated,45,334.8,aave|aave_lido,USDC|USDe|GHO|USDS|cbBTC|USDT,,"Uses 2 protocols: aave, aave_lido | Borrows 6 different assets | Borrows GHO (Aave-native stablecoin) | Whale: $346M borrowed"
6,0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,likely_sophisticated,45,299.5,aave|compound,TUSD|YFI|USDT|USDC|BUSD|WBTC|WETH|CRV,,"Uses 2 protocols: aave, compound | Borrows 20 different assets | Borrows GHO (Aave-native stablecoin) | Whale: $322M borrowed"
6,0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,likely_sophisticated,45,223.8,aave|compound,FRAX|USDC|USDe|GHO|DAI|sUSD|USDT,,"Uses 2 protocols: aave, compound | Borrows 7 different assets | Borrows GHO (Aave-native stablecoin) | Whale: $239M borrowed"
6,0xce9d00377edc72ddfbf0c9e0f007b614e9257c69,likely_sophisticated,45,197.7,aave|spark,USDC|WETH|weETH|USDS|USDT,,"Uses 2 protocols: aave, spark | Borrows 5 different assets | Whale: $269M borrowed | Uses Spark (MakerDAO ecosystem)"
6,0x51e49ce1f4ace38ac815cfe2cef14397cd9932fb,likely_sophisticated,45,177.3,aave|spark,USDC|WETH|USDe|tBTC|wstETH|USDtb|USDS|WBTC,,"Uses 2 protocols: aave, spark | Borrows 11 different assets | Whale: $189M borrowed | Uses Spark (MakerDAO ecosystem)"
6,0x2de640a18fe3480aa802aca91f70177ada103391,likely_sophisticated,45,167.1,aave|compound,USDC|WETH|TUSD|wstETH|MKR|CRV|DAI|WBTC,1 votes in ens.eth,"Uses 2 protocols: aave, compound | Borrows 10 different assets | Whale: $186M borrowed"
6,0x81ebde24453b8e40454616579ea79c79a197699d,likely_sophisticated,45,166.1,aave|spark,USDC|WETH|USDe|USDG|PYUSD|USDS|DAI|EURC,,"Uses 2 protocols: aave, spark | Borrows 12 different assets | Whale: $227M borrowed | Uses Spark (MakerDAO ecosystem)"
6,0x78b58e4197c04d320a33c582ecc3e7e885f26a58,likely_sophisticated,45,140.6,aave|compound,USDC|WETH|LINK|MANA|SNX|MKR|CRV|KNC,,"Uses 2 protocols: aave, compound | Borrows 16 different assets | Whale: $183M borrowed"
6,0x5cfd0cddf989959a6a6c3ad985ce324460d46dfd,likely_sophisticated,45,129.9,aave|compound,USDC|TUSD|BUSD|YFI|LINK,,"Uses 2 protocols: aave, compound | Borrows 5 different assets | Whale: $195M borrowed"
6,0x08b6470e62235947b766ac63f584a52d25cb14e6,likely_sophisticated,45,128.0,aave|spark,USDC|WETH|USDS|USDT,,"Uses 2 protocols: aave, spark | Whale: $147M borrowed | Uses Spark (MakerDAO ecosystem)"
6,0x51346d389ec7adf11c5b96695ef003dbb849af9a,likely_sophisticated,45,115.9,aave|compound,USDC|WETH|UNI|DAI|YFI|LINK|USDT,,"Uses 2 protocols: aave, compound | Borrows 7 different assets | Whale: $134M borrowed"
6,0x6fc6f371763371f0fd66e65b157017eb7ce7e1a1,likely_sophisticated,45,111.1,aave|compound,USDC|WETH|DAI|WBTC|USDT,,"Uses 2 protocols: aave, compound | Borrows 5 different assets | Whale: $125M borrowed"
6,0xa937f63ba1d69fd7e022fd50628b6d8fcfbde52d,likely_sophisticated,45,108.3,aave|compound,USDC|WETH|TUSD|DAI|BUSD|WBTC|cbBTC|LINK,,"Uses 2 protocols: aave, compound | Borrows 9 different assets | Whale: $128M borrowed"
6,0x930af7923b8b5f8d3461ad1999ceeb8a62884b19,likely_sophisticated,45,105.2,aave|compound,USDC|USDT,,"Uses 2 protocols: aave, compound | Borrows only stablecoins: USDC, USDT | Whale: $122M borrowed"
6,0x8ec6671cf4b8099b8008a512b03fd2ee4d5f2626,likely_sophisticated,45,101.6,aave|compound,WETH,,"Uses 2 protocols: aave, compound | High leverage: 1.1x (borrowed/net) | Borrows only volatile: WETH | Whale: $112M borrowed"
6,0x2035593de597f8efa3d2ce7a214c93274b4c9fda,likely_sophisticated,45,100.1,aave|compound,USDC|GHO|wstETH|DAI|USDT,,"Uses 2 protocols: aave, compound | Borrows 5 different assets | Borrows GHO (Aave-native stablecoin) | Whale: $116M borrowed"
